File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopCount_004_population-count_doy2000183_aid0001,population-count,aid0001,2000-07-01,93.0,21.4366226,17023.3730469,"(21.4366226,17023.3730469)",2816.4916992,3689.8000488,13614624.400332,4681.9604492,10050.5908203,784.7241821,21.4366226,198.3500977
GPW_UN_Adj_PopCount_004_population-count_doy2005182_aid0001,population-count,aid0001,2005-07-01,93.0,25.0057411,19857.1757812,"(25.0057411,19857.1757812)",3341.4731445,4317.4521484,18640393.0540476,5478.4960938,11723.4414062,915.3222656,25.0057411,245.9417114
GPW_UN_Adj_PopCount_004_population-count_doy2010182_aid0001,population-count,aid0001,2010-07-01,93.0,28.0295372,22258.8125,"(28.0295372,22258.8125)",3821.7741699,4869.4648438,23711687.8645172,6837.6040039,13141.2675781,1026.0263672,28.0295372,298.0160828
GPW_UN_Adj_PopCount_004_population-count_doy2015182_aid0001,population-count,aid0001,2015-07-01,93.0,31.0788803,24680.2070312,"(31.0788803,24680.2070312)",4340.1586914,5459.0332031,29801043.5128212,7639.1425781,14570.9238281,1137.6535645,31.0788803,340.7781982
GPW_UN_Adj_PopCount_004_population-count_doy2020183_aid0001,population-count,aid0001,2020-07-01,93.0,33.9124451,26931.3574219,"(33.9124451,26931.3574219)",4872.4150391,6068.3574219,36824961.7996254,8366.5947266,18196.8457031,1249.2288818,33.9124451,432.2009277
