File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopDensity_004_population-density_doy2000183_aid0001,population-density,aid0001,2000-07-01,93.0,137.0756836,20414.6933594,"(137.0756836,20414.6933594)",3974.8520508,4895.2490234,23963463.0014658,6317.390625,14462.6054688,975.6018066,137.0756836,250.6624298
GPW_UN_Adj_PopDensity_004_population-density_doy2005182_aid0001,population-density,aid0001,2005-07-01,93.0,182.3373108,23813.0332031,"(182.3373108,23813.0332031)",4707.9101562,5722.2890625,32744592.1148071,8068.2285156,19690.3339844,1159.3602295,182.3373108,318.7407227
GPW_UN_Adj_PopDensity_004_population-density_doy2010182_aid0001,population-density,aid0001,2010-07-01,93.0,204.3925323,26693.1132812,"(204.3925323,26693.1132812)",5374.019043,6443.7080078,41521372.8899469,9056.8955078,20722.8828125,1322.3146973,204.3925323,397.7001343
GPW_UN_Adj_PopDensity_004_population-density_doy2015182_aid0001,population-density,aid0001,2015-07-01,93.0,226.5986786,29596.8867188,"(226.5986786,29596.8867188)",6088.8208008,7206.4418945,51932804.7792552,10510.3779297,24473.1894531,1477.5411377,226.5986786,536.9091187
GPW_UN_Adj_PopDensity_004_population-density_doy2020183_aid0001,population-density,aid0001,2020-07-01,93.0,247.3212128,32296.5019531,"(247.3212128,32296.5019531)",6817.0249023,7982.4199219,63719027.8091469,13005.8251953,28407.5390625,1639.8781738,247.3212128,680.1117554
