osmid,y,x,street_count,highway,geometry
7662674675,8.4363352,124.6615599,1,,POINT (124.6615599 8.4363352)
7662674681,8.4336972,124.6607293,1,,POINT (124.6607293 8.433697199999999)
7662677679,8.5065008,124.6095756,1,,POINT (124.6095756 8.5065008)
7662684670,8.4454009,124.6614958,3,,POINT (124.6614958 8.445400899999999)
7662695758,8.4259656,124.6661581,1,,POINT (124.6661581 8.4259656)
7662695759,8.4259912,124.6665268,3,,POINT (124.6665268 8.4259912)
7662695760,8.4261288,124.6680088,1,,POINT (124.6680088 8.426128800000001)
7662695763,8.4260303,124.6665226,3,,POINT (124.6665226 8.426030300000001)
7662702837,8.4434329,124.6634102,1,,POINT (124.6634102 8.443432899999999)
7662702855,8.4447887,124.6619581,3,,POINT (124.6619581 8.4447887)
7662702865,8.4444305,124.6610633,1,,POINT (124.6610633 8.444430499999999)
7662706838,8.4769794,124.6013895,3,,POINT (124.6013895 8.476979399999999)
7662706841,8.477452,124.6012594,3,,POINT (124.6012594 8.477452)
7662706842,8.4761951,124.6009107,1,,POINT (124.6009107 8.4761951)
7662706850,8.476361,124.5987287,1,,POINT (124.5987287 8.476361000000001)
7662706851,8.4761259,124.5990502,3,,POINT (124.5990502 8.4761259)
7662706852,8.4760413,124.5982037,1,,POINT (124.5982037 8.4760413)
7662706857,8.4757194,124.5985171,3,,POINT (124.5985171 8.475719399999999)
7662706858,8.4735489,124.5940979,1,,POINT (124.5940979 8.473548900000001)
7662706859,8.4732398,124.594295,3,,POINT (124.594295 8.4732398)
7662706860,8.4751172,124.5952241,1,,POINT (124.5952241 8.4751172)
7662706864,8.474271,124.5957691,3,,POINT (124.5957691 8.474271)
7662706865,8.4747798,124.5983908,1,,POINT (124.5983908 8.4747798)
7662706867,8.475421,124.5979189,3,,POINT (124.5979189 8.475421000000001)
7662706868,8.4742114,124.5975142,3,,POINT (124.5975142 8.4742114)
7662706875,8.4743914,124.5973038,3,,POINT (124.5973038 8.4743914)
7662706876,8.4720009,124.597975,1,,POINT (124.597975 8.472000899999999)
7662706883,8.4729022,124.5989124,3,,POINT (124.5989124 8.4729022)
7662707844,8.473655,124.5974238,1,,POINT (124.5974238 8.473655000000001)
7662707845,8.4738672,124.597232,3,,POINT (124.597232 8.473867200000001)
7662707846,8.4730276,124.5971683,1,,POINT (124.5971683 8.4730276)
7662707852,8.4735844,124.5967425,3,,POINT (124.5967425 8.4735844)
7662707853,8.473448,124.5965441,1,,POINT (124.5965441 8.473447999999999)
7662707855,8.4735681,124.5967144,3,,POINT (124.5967144 8.4735681)
7662707856,8.4734149,124.5962115,1,,POINT (124.5962115 8.4734149)
7662707857,8.4737697,124.5959209,3,,POINT (124.5959209 8.4737697)
7662707858,8.4708833,124.5936815,1,,POINT (124.5936815 8.470883300000001)
7662707859,8.4733937,124.5947778,1,,POINT (124.5947778 8.473393700000001)
7662707860,8.474555,124.5945619,1,,POINT (124.5945619 8.474555000000001)
7662707865,8.4735913,124.5946836,3,,POINT (124.5946836 8.473591300000001)
7662716459,8.4240765,124.6675133,1,,POINT (124.6675133 8.4240765)
7662716468,8.4244988,124.6666864,3,,POINT (124.6666864 8.4244988)
7662725436,8.4652974,124.674813,1,,POINT (124.674813 8.465297400000001)
7662725470,8.4701213,124.6018441,1,,POINT (124.6018441 8.470121300000001)
