osmid,y,x,highway,street_count,geometry
7488841926,14.6128771,120.9965122,,3,POINT (120.9965122 14.6128771)
7488841944,14.6135228,120.9971091,traffic_signals,3,POINT (120.9971091 14.6135228)
7488841945,14.613607,120.9970241,traffic_signals,3,POINT (120.9970241 14.613607)
7488841949,14.6130751,120.9963146,,3,POINT (120.9963146 14.6130751)
7488935396,14.6182773,120.9889857,crossing,4,POINT (120.9889857 14.6182773)
7530713214,14.6008805,121.0132422,,1,POINT (121.0132422 14.6008805)
7530713215,14.6008175,121.0131557,,1,POINT (121.0131557 14.6008175)
7530713221,14.5977218,121.0175861,crossing,4,POINT (121.0175861 14.5977218)
7530713222,14.597675,121.0176542,crossing,4,POINT (121.0176542 14.597675)
7530713224,14.5977125,121.0175324,,1,POINT (121.0175324 14.5977125)
7530713226,14.5975763,121.0175599,,1,POINT (121.0175599 14.5975763)
7530713227,14.5975684,121.0167639,,1,POINT (121.0167639 14.5975684)
7530713228,14.5975477,121.0166579,,1,POINT (121.0166579 14.5975477)
7530713229,14.5977982,121.0154179,crossing,4,POINT (121.0154179 14.5977982)
7530713230,14.5978187,121.0154506,,1,POINT (121.0154506 14.5978187)
7530713231,14.597774,121.0153856,,1,POINT (121.0153856 14.597774)
7530713241,14.6000682,121.0168378,crossing,4,POINT (121.0168378 14.6000682)
7530713242,14.6000726,121.0168516,,1,POINT (121.0168516 14.6000726)
7530713243,14.6000631,121.0168217,,1,POINT (121.0168217 14.6000631)
7530713244,14.6001975,121.0169426,crossing,4,POINT (121.0169426 14.6001975)
7530713245,14.600155,121.0169578,,1,POINT (121.0169578 14.600155)
7530713246,14.6002361,121.0169289,,1,POINT (121.0169289 14.6002361)
7530713249,14.6017417,121.0122617,crossing,4,POINT (121.0122617 14.6017417)
7530713250,14.6017844,121.0123055,,1,POINT (121.0123055 14.6017844)
7530713251,14.6017111,121.0122304,,1,POINT (121.0122304 14.6017111)
7530780794,14.6012727,121.0125848,,3,POINT (121.0125848 14.6012727)
7530780795,14.6014148,121.0124397,,3,POINT (121.0124397 14.6014148)
7530780796,14.601354,121.0126673,,3,POINT (121.0126673 14.601354)
7530780800,14.6014975,121.0125199,,3,POINT (121.0125199 14.6014975)
7530780801,14.601835,121.0124309,,1,POINT (121.0124309 14.601835)
7530780802,14.60171,121.0122943,,3,POINT (121.0122943 14.60171)
7530813263,14.5964931,121.0156519,crossing,4,POINT (121.0156519 14.5964931)
7530813264,14.5964809,121.0156718,,1,POINT (121.0156718 14.5964809)
7530813265,14.5965072,121.0156289,,1,POINT (121.0156289 14.5965072)
7535836909,14.6174125,120.9888386,,3,POINT (120.9888386 14.6174125)
7535836912,14.6176616,120.9888476,,3,POINT (120.9888476 14.6176616)
7535836923,14.6159499,120.9887977,crossing,4,POINT (120.9887977 14.6159499)
7535836924,14.615948,120.9888607,crossing,4,POINT (120.9888607 14.615948)
7535836928,14.6160503,120.9889295,crossing,4,POINT (120.9889295 14.6160503)
7535836929,14.6160551,120.98893,,1,POINT (120.98893 14.6160551)
7535836931,14.6162565,120.9889398,crossing,4,POINT (120.9889398 14.6162565)
7535836932,14.6161758,120.9889394,,1,POINT (120.9889394 14.6161758)
7535836934,14.6163133,120.9888103,crossing,4,POINT (120.9888103 14.6163133)
7535836935,14.6163133,120.9888728,crossing,4,POINT (120.9888728 14.6163133)
7535836937,14.6163133,120.9887724,,1,POINT (120.9887724 14.6163133)
7535836940,14.6160914,120.988762,crossing,4,POINT (120.988762 14.6160914)
7535836942,14.6161037,120.9887617,,1,POINT (120.9887617 14.6161037)
7535880421,14.618193,120.9889816,,1,POINT (120.9889816 14.618193)
7535880423,14.6183967,120.9889411,crossing,4,POINT (120.9889411 14.6183967)
7535880424,14.6183977,120.9888744,crossing,4,POINT (120.9888744 14.6183977)
7535880426,14.6183981,120.9888509,,1,POINT (120.9888509 14.6183981)
7536286893,14.6082714,120.975663,crossing,4,POINT (120.975663 14.6082714)
7536286894,14.6082765,120.9755083,crossing,4,POINT (120.9755083 14.6082765)
7536286895,14.6082706,120.9756866,,1,POINT (120.9756866 14.6082706)
7536286896,14.6082784,120.9754499,,1,POINT (120.9754499 14.6082784)
7536286897,14.6081195,120.975622,crossing,4,POINT (120.975622 14.6081195)
7536286898,14.6081345,120.9754709,crossing,4,POINT (120.9754709 14.6081345)
7536286899,14.6081175,120.975642,,1,POINT (120.975642 14.6081175)
7536286900,14.6081396,120.9754197,,1,POINT (120.9754197 14.6081396)
7536286902,14.6092611,120.9758424,crossing,4,POINT (120.9758424 14.6092611)
7536286903,14.6092822,120.9756929,crossing,4,POINT (120.9756929 14.6092822)
7536286904,14.6092576,120.9758677,,1,POINT (120.9758677 14.6092576)
7536286905,14.60929,120.975637,,1,POINT (120.975637 14.60929)
7542015719,14.6011368,120.992964,,1,POINT (120.992964 14.6011368)
7542016024,14.6034954,120.9849952,,3,POINT (120.9849952 14.6034954)
7542016259,14.6012253,120.9891601,,4,POINT (120.9891601 14.6012253)
7543076800,14.6240911,120.9891214,crossing,4,POINT (120.9891214 14.6240911)
7543076801,14.6240903,120.9891687,,1,POINT (120.9891687 14.6240903)
7543076802,14.6240923,120.9890514,,1,POINT (120.9890514 14.6240923)
7543076803,14.6237736,120.9890371,crossing,4,POINT (120.9890371 14.6237736)
7543076804,14.6238601,120.9890396,crossing,4,POINT (120.9890396 14.6238601)
7543076806,14.6236738,120.9889883,crossing,4,POINT (120.9889883 14.6236738)
7543076808,14.6236627,120.9889552,,1,POINT (120.9889552 14.6236627)
7543076809,14.6235188,120.989295,crossing,4,POINT (120.989295 14.6235188)
7543076810,14.6235557,120.989333,,1,POINT (120.989333 14.6235557)
7543076811,14.6234785,120.9892532,,1,POINT (120.9892532 14.6234785)
7543076817,14.6226773,120.9890946,,3,POINT (120.9890946 14.6226773)
7543121386,14.6083963,120.9786875,,3,POINT (120.9786875 14.6083963)
7543121388,14.6086366,120.9784038,,3,POINT (120.9784038 14.6086366)
7543121389,14.6081753,120.9779781,,3,POINT (120.9779781 14.6081753)
7543121390,14.6080541,120.9784264,,3,POINT (120.9784264 14.6080541)
7543121391,14.6082974,120.9780908,,3,POINT (120.9780908 14.6082974)
7543121393,14.6081056,120.9783553,,3,POINT (120.9783553 14.6081056)
7543121466,14.6074324,120.9780148,,3,POINT (120.9780148 14.6074324)
7543121467,14.6075455,120.9777906,,1,POINT (120.9777906 14.6075455)
7543121468,14.6071565,120.9778675,,3,POINT (120.9778675 14.6071565)
7543121469,14.6073833,120.9774016,,1,POINT (120.9774016 14.6073833)
7543121471,14.6073218,120.9790834,,1,POINT (120.9790834 14.6073218)
