File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopCount_004_population-count_doy2000183_aid0001,population-count,aid0001,2000-07-01,130.0,42.4070053,9075.7470703,"(42.4070053,9075.7470703)",1115.2857666,1620.2840576,2625320.4273684,1435.0048218,3328.9899902,465.9230042,42.4070053,169.9476242
GPW_UN_Adj_PopCount_004_population-count_doy2005182_aid0001,population-count,aid0001,2005-07-01,130.0,50.3953629,10976.4589844,"(50.3953629,10976.4589844)",1342.2387695,1953.3974609,3815761.6403971,1735.0730896,4026.1303711,560.7184143,50.3953629,202.5292664
GPW_UN_Adj_PopCount_004_population-count_doy2010182_aid0001,population-count,aid0001,2010-07-01,130.0,57.5853767,12757.5527344,"(57.5853767,12757.5527344)",1552.7695312,2263.8881836,5125189.7078154,1976.1934814,4327.3969727,648.53479,57.5853767,231.5432243
GPW_UN_Adj_PopCount_004_population-count_doy2015182_aid0001,population-count,aid0001,2015-07-01,130.0,65.0834808,14666.5439453,"(65.0834808,14666.5439453)",1777.2762451,2596.0065918,6739250.2246528,2226.1731567,4964.6064453,742.0148621,65.0834808,265.3568573
GPW_UN_Adj_PopCount_004_population-count_doy2020183_aid0001,population-count,aid0001,2020-07-01,130.0,72.4056702,16593.1582031,"(72.4056702,16593.1582031)",2002.4492188,2930.3789062,8587120.5341949,2499.7042847,5605.5756836,835.5632629,72.4056702,299.7353363
