File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopDensity_004_population-density_doy2000183_aid0001,population-density,aid0001,2000-07-01,190.0,10.5100298,16850.7773438,"(10.5100298,16850.7773438)",1509.2154541,2867.1208496,8220381.9662648,1129.7657471,2680.0524902,433.8849792,10.5100298,19.9399204
GPW_UN_Adj_PopDensity_004_population-density_doy2005182_aid0001,population-density,aid0001,2005-07-01,190.0,12.1474257,18494.734375,"(12.1474257,18494.734375)",1671.2579346,3145.130127,9891843.5154682,1314.2614746,3165.0209961,489.729187,12.1474257,23.0473003
GPW_UN_Adj_PopDensity_004_population-density_doy2010182_aid0001,population-density,aid0001,2010-07-01,190.0,13.4935646,19507.0097656,"(13.4935646,19507.0097656)",1779.4676514,3315.5749512,10993037.2568384,1415.6801758,3469.5368652,520.2848969,13.4935646,25.5925007
GPW_UN_Adj_PopDensity_004_population-density_doy2015182_aid0001,population-density,aid0001,2015-07-01,190.0,14.8158636,20351.921875,"(14.8158636,20351.921875)",1875.289917,3457.5725098,11954807.660287,1527.613678,3619.8066406,543.5261841,14.8158636,28.118927
GPW_UN_Adj_PopDensity_004_population-density_doy2020183_aid0001,population-density,aid0001,2020-07-01,190.0,16.0214691,20896.0253906,"(16.0214691,20896.0253906)",1946.1622314,3548.6953125,12593238.4209595,1708.6750488,4062.1335449,568.3165283,16.0214691,30.3949528
