File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopCount_004_population-count_doy2000183_aid0001,population-count,aid0001,2000-07-01,190.0,8.7272148,13997.3525391,"(8.7272148,13997.3525391)",1253.6490479,2381.6604004,5672306.2627888,938.4216614,2226.3137207,360.370575,8.7272148,16.561605
GPW_UN_Adj_PopCount_004_population-count_doy2005182_aid0001,population-count,aid0001,2005-07-01,190.0,10.0868597,15362.9306641,"(10.0868597,15362.9306641)",1388.2515869,2612.5976562,6825666.513443,1091.6710968,2629.1762695,406.7688141,10.0868597,19.1425176
GPW_UN_Adj_PopCount_004_population-count_doy2010182_aid0001,population-count,aid0001,2010-07-01,190.0,11.2046518,16203.7919922,"(11.2046518,16203.7919922)",1478.1369629,2754.1831055,7585524.5784495,1175.9320068,2882.0229492,432.1742096,11.2046518,21.2564983
GPW_UN_Adj_PopCount_004_population-count_doy2015182_aid0001,population-count,aid0001,2015-07-01,190.0,12.3026495,16905.6308594,"(12.3026495,16905.6308594)",1557.7327881,2872.1379395,8249176.343246,1269.0479126,3006.8469238,451.4707794,12.3026495,23.3548851
GPW_UN_Adj_PopCount_004_population-count_doy2020183_aid0001,population-count,aid0001,2020-07-01,190.0,13.3037481,17357.5996094,"(13.3037481,17357.5996094)",1616.6032715,2947.8325195,8689716.563206,1419.4625854,3374.4052734,472.062088,13.3037481,25.2452955
