osmid,y,x,street_count,highway,ref,geometry
7679028366,15.1752066,120.5175029,1,,,POINT (120.5175029 15.1752066)
7679028372,15.1755949,120.516135,3,,,POINT (120.516135 15.1755949)
7679028373,15.17436,120.5151204,1,,,POINT (120.5151204 15.17436)
7679028375,15.1745762,120.5155302,3,,,POINT (120.5155302 15.1745762)
7679028376,15.1742559,120.5155087,1,,,POINT (120.5155087 15.1742559)
7679028377,15.1743847,120.5157448,3,,,POINT (120.5157448 15.1743847)
7679028379,15.168879,120.5161156,1,,,POINT (120.5161156 15.168879)
7679028380,15.1687736,120.5161417,3,,,POINT (120.5161417 15.1687736)
7679028381,15.1682999,120.5160109,1,,,POINT (120.5160109 15.1682999)
7679028387,15.1707371,120.514462,1,,,POINT (120.514462 15.1707371)
7679028388,15.1710673,120.5142179,3,,,POINT (120.5142179 15.1710673)
7679028394,15.1693638,120.5149381,3,,,POINT (120.5149381 15.1693638)
7679028397,15.1681802,120.5155932,1,,,POINT (120.5155932 15.1681802)
7679028399,15.1683775,120.5154377,3,,,POINT (120.5154377 15.1683775)
7679028403,15.1690797,120.5154621,1,,,POINT (120.5154621 15.1690797)
7679028405,15.1694572,120.5162326,3,,,POINT (120.5162326 15.1694572)
7679028406,15.1693904,120.5157514,3,,,POINT (120.5157514 15.1693904)
7679028407,15.1701734,120.5162195,3,,,POINT (120.5162195 15.1701734)
7679028408,15.1671931,120.5180964,1,,,POINT (120.5180964 15.1671931)
7679028412,15.1746514,120.5213338,3,,,POINT (120.5213338 15.1746514)
7679028416,15.172548,120.5230531,3,,,POINT (120.5230531 15.172548)
7679028426,15.1722193,120.5171429,3,,,POINT (120.5171429 15.1722193)
7679028435,15.1711203,120.516306,3,,,POINT (120.516306 15.1711203)
7679028447,15.1719076,120.517092,3,,,POINT (120.517092 15.1719076)
7679028448,15.1730335,120.5154286,1,,,POINT (120.5154286 15.1730335)
7679034337,15.1721176,120.5185108,1,,,POINT (120.5185108 15.1721176)
7679034338,15.1723629,120.5184642,3,,,POINT (120.5184642 15.1723629)
7679034340,15.1719804,120.5235634,1,,,POINT (120.5235634 15.1719804)
7679034344,15.1683782,120.5156301,1,,,POINT (120.5156301 15.1683782)
7679034345,15.1684911,120.5155556,3,,,POINT (120.5155556 15.1684911)
7679034350,15.1686183,120.5160365,1,,,POINT (120.5160365 15.1686183)
7679034351,15.1687406,120.5160102,3,,,POINT (120.5160102 15.1687406)
7679041392,15.1601347,120.6070424,1,,,POINT (120.6070424 15.1601347)
7679041393,15.1594021,120.6065315,1,,,POINT (120.6065315 15.1594021)
7679041399,15.1596895,120.606734,1,,,POINT (120.606734 15.1596895)
7679041401,15.1602587,120.6065005,4,,,POINT (120.6065005 15.1602587)
7679041402,15.1603483,120.6061117,1,,,POINT (120.6061117 15.1603483)
7679041403,15.1604416,120.6065448,3,,,POINT (120.6065448 15.1604416)
7679041404,15.160514,120.6061707,1,,,POINT (120.6061707 15.160514)
7679041405,15.1618912,120.6064966,3,,,POINT (120.6064966 15.1618912)
7679041418,15.1618431,120.6069376,3,,,POINT (120.6069376 15.1618431)
7679041420,15.1622087,120.6056962,1,,,POINT (120.6056962 15.1622087)
7679041421,15.1620065,120.6038949,1,,,POINT (120.6038949 15.1620065)
7679041422,15.1619556,120.6041147,3,,,POINT (120.6041147 15.1619556)
7679041423,15.1618641,120.6040947,1,,,POINT (120.6040947 15.1618641)
