u,v,key,osmid,oneway,name,highway,access,length,maxspeed,width,geometry,lanes,junction,bridge,ref,tunnel,service
254707068,8383269013,0,23521748,False,San Felipe Road,secondary,,10.405,40,6,"LINESTRING (123.1976476 13.6354173, 123.1975611 13.6353762)",,,,,,
254707068,5707075288,0,600024662,False,,service,,41.437,,,"LINESTRING (123.1976476 13.6354173, 123.1975347 13.6356336, 123.1976473 13.635704)",,,,,,
254707077,5707112742,0,23519792,False,Perpetual Help St.,residential,,78.842,,6,"LINESTRING (123.198067 13.63561, 123.1983736 13.6349666)",,,,,,
254707077,1993226879,0,23521748,False,San Felipe Road,secondary,,16.2,40,6,"LINESTRING (123.198067 13.63561, 123.1981998 13.6356776)",,,,,,
254707077,254707068,0,23521748,False,San Felipe Road,secondary,,50.131,40,6,"LINESTRING (123.198067 13.63561, 123.1976476 13.6354173)",,,,,,
254707082,1993226880,0,23521748,False,San Felipe Road,secondary,,41.382,40,6,"LINESTRING (123.1984846 13.635808, 123.1988251 13.6359783)",,,,,,
254707082,1993226879,0,23521748,False,San Felipe Road,secondary,,34.02,40,6,"LINESTRING (123.1984846 13.635808, 123.1981998 13.6356776)",,,,,,
254707082,254712673,0,"[23519800, 23519857]",False,"['San Martin (san Felipe)', 'San Jose St. (san Felipe)']",residential,,224.644,,6,"LINESTRING (123.1984846 13.635808, 123.19916 13.6343765, 123.1987425 13.6341926)",,,,,,
254707103,254708191,0,23520102,False,,residential,,75.793,,6,"LINESTRING (123.2186175 13.6128501, 123.2185572 13.612171)",,,,,,
254707103,2124614367,0,"[23520293, 23520102]",False,,residential,,56.85000000000001,,6,"LINESTRING (123.2186175 13.6128501, 123.2184761 13.6131026, 123.2183984 13.6132135, 123.2183062 13.6132124)",,,,,,
254707103,254708272,0,"[23521938, 23520220]",False,Yakal Street,residential,,96.83399999999999,,6,"LINESTRING (123.2186175 13.6128501, 123.2187637 13.6128176, 123.218816 13.6128072, 123.2188556 13.612826, 123.2190448 13.613074, 123.2191171 13.6130749, 123.2193693 13.6130192)",,,,,,
254707103,871358652,0,73532249,False,Mulawin Street,residential,,26.084000000000003,,6,"LINESTRING (123.2186175 13.6128501, 123.2185075 13.6128736, 123.2183794 13.612886)",,,,,,
254707116,254717260,0,600554930,False,,residential,,28.105,,,"LINESTRING (123.2016344 13.6199871, 123.2014042 13.6201047)",,,,,,
254707116,5710326310,0,600554930,False,,residential,,23.025,,,"LINESTRING (123.2016344 13.6199871, 123.2018235 13.6198917)",,,,,,
254707116,254717193,0,"[23521953, 23521975]",False,,residential,,156.54899999999998,,6,"LINESTRING (123.2016344 13.6199871, 123.2013761 13.6196095, 123.2013026 13.6195117, 123.2012614 13.6194347, 123.2011897 13.6193541, 123.2010723 13.6192257, 123.2009553 13.6192974, 123.2008177 13.619403, 123.2009201 13.6195326)",,,,,,
254707126,254708042,0,23520807,False,Camilla,residential,,33.784,,6,"LINESTRING (123.2294603 13.6230544, 123.2296734 13.6228321)",,,,,,
