File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopDensity_004_population-density_doy2000183_aid0001,population-density,aid0001,2000-07-01,112.0,84.6475754,13170.2041016,"(84.6475754,13170.2041016)",1682.8356934,2751.3444824,7569896.4609533,1755.1156006,3788.6884766,497.8039703,84.6475754,136.9598312
GPW_UN_Adj_PopDensity_004_population-density_doy2005182_aid0001,population-density,aid0001,2005-07-01,112.0,88.8523254,15217.7304688,"(88.8523254,15217.7304688)",1991.5028076,3196.9484863,10220479.6242357,2109.6760864,4580.440918,600.7800598,88.8523254,170.4409599
GPW_UN_Adj_PopDensity_004_population-density_doy2010182_aid0001,population-density,aid0001,2010-07-01,112.0,90.5170593,16904.7441406,"(90.5170593,16904.7441406)",2267.380127,3575.0234375,12780792.5786743,2460.3545532,5372.9916992,691.4989014,90.5170593,194.310173
GPW_UN_Adj_PopDensity_004_population-density_doy2015182_aid0001,population-density,aid0001,2015-07-01,112.0,87.3872833,18584.4375,"(87.3872833,18584.4375)",2556.4470215,3960.7226562,15687323.9597321,2807.1643677,6538.7792969,806.799469,87.3872833,242.3050613
GPW_UN_Adj_PopDensity_004_population-density_doy2020183_aid0001,population-density,aid0001,2020-07-01,112.0,80.7491913,20114.6601562,"(80.7491913,20114.6601562)",2839.8259277,4325.425293,18709303.9650538,3154.4429932,7409.5107422,922.7915955,80.7491913,297.462326
