LGU,NDBI,NDVI,NO2,PM2.5,Population Density
Taytay,-0.197468444,0.018860023,1.19598E-05,18 AQI,13158.39648
Dumaguete,-0.155785246,0.478778987,-1.60888E-06,20 AQI,3871.974365
