File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopDensity_004_population-density_doy2000183_aid0001,population-density,aid0001,2000-07-01,56.0,147.3291779,12059.1464844,"(147.3291779,12059.1464844)",2789.5456543,2475.9111328,6130135.9375849,3672.5,7000.8334961,2087.914917,147.3291779,780.3868713
GPW_UN_Adj_PopDensity_004_population-density_doy2005182_aid0001,population-density,aid0001,2005-07-01,56.0,178.5001831,13460.0703125,"(178.5001831,13460.0703125)",3143.628418,2751.8725586,7572802.5787413,4162.6555176,9030.8085938,2330.6607666,178.5001831,872.8356628
GPW_UN_Adj_PopDensity_004_population-density_doy2010182_aid0001,population-density,aid0001,2010-07-01,56.0,207.7386932,14437.5654297,"(207.7386932,14437.5654297)",3408.1293945,2938.3254395,8633756.3881374,4513.9207764,9687.1162109,2499.8294678,207.7386932,1021.8195496
GPW_UN_Adj_PopDensity_004_population-density_doy2015182_aid0001,population-density,aid0001,2015-07-01,56.0,239.210495,15317.0429688,"(239.210495,15317.0429688)",3659.2634277,3102.6152344,9626221.2925758,4850.3079834,10278.3066406,2652.3415527,239.210495,1218.5109863
GPW_UN_Adj_PopDensity_004_population-density_doy2020183_aid0001,population-density,aid0001,2020-07-01,56.0,271.1977539,15994.6943359,"(271.1977539,15994.6943359)",3871.9743652,3223.9641113,10393944.5911317,5164.6483154,10732.4970703,2769.3671875,271.1977539,1398.4866638
