,0,1
587,1805883343,0.03278082055816724
588,1805883344,0.03174062327995177
589,1805883345,0.03132382611094825
590,1805883346,0.03233644859813084
591,1805883348,0.02991231320242065
592,1805883350,0.029646494320407363
593,1805883354,0.029925618405120223
594,1805883359,0.026578389055527105
595,1805883361,0.029975247524752474
596,1805883362,0.024917011878960796
597,1805883365,0.027703640439841998
598,1805883367,0.02431141090500281
599,1805883371,0.029949054457322804
600,1805883374,0.028875959750107302
601,1805883377,0.029946832625808845
602,1805883380,0.02924791086350975
603,1805883383,0.028379708469386162
604,1805883388,0.027028032377097964
605,1805883390,0.02826049753411018
606,1805883391,0.026400313926111096
607,1805883394,0.0269979043740618
608,1805883397,0.023137474684431083
609,1805883398,0.028208054785586172
610,1805883399,0.02340277509372705
611,1805883400,0.02743439682839343
612,1805883402,0.025484543024895306
613,1805883403,0.02819623274115812
614,1805883407,0.02163839519702673
615,1805883408,0.020457693737118917
616,1805883409,0.020457693737118917
617,1805883410,0.025014975935221333
618,1805883411,0.024404661942028012
619,1805883413,0.019554440790358955
620,1805883415,0.022655275629832876
621,1805883416,0.021329685426769843
622,1805883417,0.01994367681691672
623,1805883418,0.021792856885774956
624,1805883419,0.021903091030765612
625,1805883420,0.021777703180635648
626,1805883421,0.022134623351936247
627,1805883422,0.01994367681691672
628,1805883426,0.020348609259653407
629,1805883427,0.02199805026914763
630,1805883428,0.0210836031895261
631,1805883429,0.021321673807148306
632,1805883430,0.021781620221593363
633,1805883431,0.022414718566642605
634,1805883432,0.023128342245989305
635,1805883433,0.02076973210304257
636,1805883440,0.02087667076576525
637,1805883442,0.022285745833307773
638,1805883445,0.021800310832948293
639,1805883449,0.021335322202711986
640,1805883455,0.020424685028081833
641,1805883460,0.020017300942736082
642,1805883461,0.019625214051502006
643,1805897864,0.03004515456755818
644,1805897871,0.030975564005934212
645,1805897872,0.03122904739800918
646,1805897873,0.02881686655244622
647,1805897874,0.029440604209042067
648,1805897875,0.029562542720437457
649,1805897877,0.031236028476115143
650,1805897879,0.028474018339995296
651,1805897881,0.02873163247552315
652,1805897884,0.029015022641780675
653,1805897886,0.027470907152417033
654,1805897887,0.028449936569092702
655,1805897888,0.028231948027726834
656,1805897890,0.0282466547967998
657,1805897891,0.028761885158297244
658,1805897892,0.02809549219311881
659,1805897893,0.02821199767035527
660,1805897897,0.028068142310812377
661,1805897898,0.028022461163475926
662,1805897899,0.03233040553167632
663,1805897900,0.02770089438891049
664,1805897901,0.028264015310647435
665,1805897903,0.02770047196785434
666,1805897904,0.0286656619613846
667,1805897905,0.02807486631016043
668,1805897906,0.029214278247304132
669,1805897907,0.032629196529611465
670,1805897909,0.02787881578341544
671,1805897910,0.02768970458217737
672,1805897911,0.02839745493770225
673,1805897920,0.026943842890622682
674,1805897921,0.028374388853309174
675,1805897924,0.03335046909137643
676,1805897925,0.02759401180321892
677,1805897926,0.02835822060556861
678,1805897928,0.03359533937488441
679,1805897932,0.026855410999408635
680,1805897933,0.028059254224721185
681,1805897934,0.02757872043239304
682,1805897935,0.02757872043239304
683,1805897936,0.026840927057398063
684,1805897937,0.02684786946304261
685,1805897939,0.02685600656430879
686,1805897943,0.029726545240316166
687,1805897944,0.028869075998855725
688,1805897948,0.03481318934043715
689,1805897977,0.03296135002721829
690,1805897980,0.03294550796659201
691,1805897982,0.03000520321443025
692,1805897984,0.03303297842354588
693,1805897986,0.03191769749789148
694,1805897987,0.03372319688109162
695,1805897989,0.030933101739508032
696,1805897990,0.03406246191061065
697,1805897991,0.03408898980989735
698,1805897992,0.030932838362509367
699,1805897993,0.030007433716032046
700,1805897994,0.03000892090134144
701,1805897995,0.030934682095690603
702,1805897996,0.030008425156526193
703,1805897998,0.03483655680957358
704,1805898000,0.03294072844980007
705,1805898002,0.030008673026886385
706,1805898003,0.03281012932591576
707,1805898004,0.02913719262788124
708,1805898008,0.030007433716032046
709,1805898010,0.02913719262788124
710,1805898011,0.029137660004491354
711,1805898012,0.033922835586763275
712,1805898015,0.03513063995203744
713,1805898017,0.03281012932591576
714,1805898021,0.03479118584986066
715,1805898022,0.03455688617058717
716,1805898023,0.034676618814905316
717,1805898026,0.03146081037782415
718,1805898030,0.032033082335514135
719,1805898031,0.03481218857799923
720,1805898032,0.03364138084302541
721,1805898035,0.030615340535620986
722,1805898040,0.03214077180317427
723,1805898041,0.03158196707060521
724,1805898047,0.03510212757734449
725,1805898057,0.0325952376680005
726,1805898059,0.031140177943873967
727,1805898064,0.0312973811164714
728,1805898066,0.030594714769339598
729,1805898067,0.03155755148840805
730,1805898074,0.033550663071183186
731,1805898078,0.032308266932270915
732,1805898079,0.03471505561288843
733,1805898088,0.031559196295942386
734,1805898089,0.0325847130787307
735,1805898091,0.031556729148932476
736,1805898093,0.03333272166764533
737,1805898096,0.03448177676537585
738,1805898098,0.033383566427140576
739,1805898100,0.0336781800990044
740,1805911058,0.034570039299273964
741,1805911060,0.03450011395578516
742,1805911062,0.03334985679665124
743,1805911065,0.03461351575377052
744,1805911074,0.031236834185976527
745,1805911075,0.030290902723930063
746,1805911077,0.03424031365748376
747,1805911078,0.03310703057365472
748,1805911080,0.03373008504475062
749,1805911083,0.03438680182866229
750,1805911085,0.03373008504475062
751,1805911087,0.033243962921954924
752,1805911090,0.03185668437943916
753,1805911091,0.03290462820396703
754,1805921934,0.02653199833490349
755,1805922019,0.027465092192898236
756,1805922026,0.027678734686414335
757,1805933865,0.028656165453269076
758,1805933876,0.027890587214703014
759,1805933950,0.027698360055808422
760,1805933952,0.027204720576892837
761,1805934007,0.029191977629929613
762,1805949231,0.031174648394930365
763,1805949233,0.025980991611422196
764,1844788311,0.025268473180503005
765,1844788312,0.024645880820579617
766,1853925012,0.025509057716612837
767,1853925015,0.023630344145749726
768,1853925250,0.020383201952478468
769,1853925254,0.019585433569637996
770,1853925497,0.020727073563139697
771,1853925498,0.020797435383690645
772,1853933970,0.02410605869589739
773,1853933972,0.025325014813007564
774,1853933974,0.02470134691352149
775,1855168855,0.03055791536643424
776,1855168859,0.030944958348239383
777,1855284099,0.02376793389727385
778,1855284115,0.023750841706817988
779,1855296844,0.029174630197709717
780,1855296847,0.029990589245323516
781,1855296848,0.030692157575040763
782,1855298596,0.030941268651631805
783,1855303187,0.026110017104828163
784,1855303188,0.024225814195406897
785,1855303190,0.02545222715744931
786,1855303196,0.024226460389437182
787,1921078262,0.03288913834621861
788,1921078263,0.030015119093845785
789,1921078264,0.03184216523217698
790,1921088674,0.026588309340671405
791,1921088679,0.027919308357348703
792,1921966468,0.029175567369621434
793,2136824105,0.02985945590531766
794,2136824109,0.02939700932159503
