File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopCount_004_population-count_doy2000183_aid0001,population-count,aid0001,2000-07-01,2919.0,3.6693954,58582.015625,"(3.6693954,58582.015625)",395.7627258,1681.5319824,2827549.8079076,204.7558594,476.5382996,62.1807137,3.6693954,20.7428741
GPW_UN_Adj_PopCount_004_population-count_doy2005182_aid0001,population-count,aid0001,2005-07-01,2919.0,4.2441101,67744.34375,"(4.2441101,67744.34375)",458.6138611,1944.3798828,3780613.128686,238.4306412,556.46521,71.9525757,4.2441101,24.4051609
GPW_UN_Adj_PopCount_004_population-count_doy2010182_aid0001,population-count,aid0001,2010-07-01,2919.0,4.7160707,75277.9375,"(4.7160707,75277.9375)",510.8184814,2160.486084,4667700.1190901,265.3665619,618.3623047,80.6744537,4.7160707,27.9458323
GPW_UN_Adj_PopCount_004_population-count_doy2015182_aid0001,population-count,aid0001,2015-07-01,2919.0,5.1822248,82745.125,"(5.1822248,82745.125)",562.9530029,2374.6208496,5638824.1793996,294.5725098,686.4074097,91.9943695,5.1822248,31.1772175
GPW_UN_Adj_PopCount_004_population-count_doy2020183_aid0001,population-count,aid0001,2020-07-01,2919.0,5.6090717,89511.890625,"(5.6090717,89511.890625)",610.7515869,2568.5805664,6597606.1261199,319.6566162,746.3341675,99.7192078,5.6090717,33.7348003
