,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-02,-0.6951983571052551,0.8888888955116272,-0.17604843218599583,0.11969611709879055,0.0,1.0,0.8493545729195291,0.3577029247577034
1,2021-09-04,-0.6349838376045227,-0.41849905252456665,-0.5533351172984432,0.032067523597912546,1.0,1.0,1.0,0.0
2,2021-09-07,-0.6493374109268188,0.3207314610481262,-0.1719731770265789,0.10305241669906828,0.0,1.0,0.7355122219170577,0.4410600790455782
3,2021-09-09,-0.546069324016571,0.6203473806381226,-0.194336491478675,0.12638642292316604,0.0,1.0,0.058500411974732214,0.23468726802602388
4,2021-09-12,-0.6261576414108276,-0.5809030532836914,-0.6055051759847153,0.005968015611395793,1.0,1.0,1.0,0.0
5,2021-09-14,-1.0,0.9972337484359741,-0.14371227036504264,0.13086458089206576,0.0,1.0,0.7017302938753048,0.4574985120554843
6,2021-09-17,-0.44895103573799133,0.2946465015411377,-0.22518289213119977,0.09762925710364213,0.0,1.0,0.7724526229057956,0.4192488142759047
7,2021-09-19,-0.41232573986053467,-0.2867605686187744,-0.35661866414582954,0.025590903162688736,1.0,1.0,1.0,0.0
8,2021-09-22,-0.5149680376052856,0.38199514150619507,-0.22479032842476934,0.13851092971580778,0.0,0.0,0.0,0.0
9,2021-09-24,-0.4878048896789551,0.7312925457954407,-0.2108651905897902,0.14076686576795422,0.0,1.0,0.02018676187860477,0.14063874474504287
10,2021-09-27,-0.8879310488700867,1.0,-0.18877518524483772,0.1252711615260011,0.0,1.0,0.4691884456671246,0.4990497451352846
11,2021-09-29,-0.8253968358039856,1.0,-0.19717020306436886,0.14255613197097178,0.0,1.0,0.24114254325734732,0.42777659717278277
