File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopCount_004_population-count_doy2000183_aid0001,population-count,aid0001,2000-07-01,135.0,246.2594299,43262.5898438,"(246.2594299,43262.5898438)",4509.7866211,5350.1274414,28623863.6392882,5690.2807617,11439.0185547,2289.1640625,246.2594299,1727.6055908
GPW_UN_Adj_PopCount_004_population-count_doy2005182_aid0001,population-count,aid0001,2005-07-01,135.0,288.1499939,48012.4453125,"(288.1499939,48012.4453125)",5049.3891602,5949.2299805,35393337.3605082,6360.8747559,13011.3339844,2540.7192383,288.1499939,1917.3843994
GPW_UN_Adj_PopCount_004_population-count_doy2010182_aid0001,population-count,aid0001,2010-07-01,135.0,323.9919128,51206.0742188,"(323.9919128,51206.0742188)",5440.3105469,6364.8149414,40510869.2383482,6759.3066406,13614.4453125,2722.1887207,323.9919128,2044.868103
GPW_UN_Adj_PopCount_004_population-count_doy2015182_aid0001,population-count,aid0001,2015-07-01,135.0,360.3883972,54019.234375,"(360.3883972,54019.234375)",5807.1103516,6746.2387695,45511737.5355265,7040.0422363,14195.3085938,3017.7766113,360.3883972,2169.9211426
GPW_UN_Adj_PopCount_004_population-count_doy2020183_aid0001,population-count,aid0001,2020-07-01,135.0,394.4569092,56084.9335938,"(394.4569092,56084.9335938)",6111.2983398,7052.4682617,49737308.5825503,7852.4006348,16006.390625,3304.3676758,394.4569092,2262.1668701
