File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
GPW_UN_Adj_PopDensity_004_population-density_doy2000183_aid0001,population-density,aid0001,2000-07-01,135.0,295.2635193,51885.0273438,"(295.2635193,51885.0273438)",5408.480957,6416.3452148,41169485.9160483,6823.7475586,13716.8349609,2745.0998535,295.2635193,2071.5794678
GPW_UN_Adj_PopDensity_004_population-density_doy2005182_aid0001,population-density,aid0001,2005-07-01,135.0,345.4900513,57581.5507812,"(345.4900513,57581.5507812)",6055.6118164,7134.8305664,50905807.2113249,7628.9211426,15605.7128906,3046.7575684,345.4900513,2299.144043
GPW_UN_Adj_PopDensity_004_population-density_doy2010182_aid0001,population-density,aid0001,2010-07-01,135.0,388.4642639,61411.6835938,"(388.4642639,61411.6835938)",6524.4331055,7633.2241211,58266110.4828474,8105.5661621,16325.4472656,3264.9760742,388.4642639,2452.010376
GPW_UN_Adj_PopDensity_004_population-density_doy2015182_aid0001,population-density,aid0001,2015-07-01,135.0,432.1034241,64785.5195312,"(432.1034241,64785.5195312)",6964.3261719,8090.6484375,65458592.1392212,8442.2158203,17020.0859375,3619.5021973,432.1034241,2602.1068115
GPW_UN_Adj_PopDensity_004_population-density_doy2020183_aid0001,population-density,aid0001,2020-07-01,135.0,472.951355,67262.921875,"(472.951355,67262.921875)",7329.1323242,8457.8945312,71535979.9017487,9416.902832,19196.5332031,3963.237793,472.951355,2712.5244141
